annual_income_lakhs,debt_to_income,credit_history_months,num_open_accounts,num_defaults,loan_amount_lakhs,employment_years,home_ownership,credit_score_band,target
11.84,0.0,39,4,4,35.14,15,0,617,0
25.96,0.3,72,2,3,0.5,0,1,732,1
36.99,0.0,130,2,4,18.92,7,0,581,0
19.13,0.0147,0,3,0,11.06,9,0,742,1
31.23,0.0,4,0,0,12.1,10,0,900,1
31.97,0.0,84,0,2,27.35,14,0,554,0
14.69,0.3586,30,4,1,0.5,0,0,620,1
27.75,0.0,90,6,2,49.64,10,1,691,1
1.0,0.1516,54,4,0,18.88,14,0,723,1
1.0,0.2343,86,0,1,21.11,17,1,727,0
12.58,0.0,0,11,1,37.1,10,0,883,1
1.0,0.8494,159,7,1,7.34,11,1,823,1
5.48,0.0,88,6,0,27.28,20,0,412,0
11.81,0.0,65,7,1,11.9,10,0,532,0
5.19,0.6762,2,9,2,11.6,18,0,865,0
5.04,0.5267,181,3,4,18.78,10,0,900,1
28.39,0.0,55,2,1,32.16,19,0,888,0
1.0,0.7265,117,8,0,17.27,7,0,785,0
15.57,0.0,134,5,4,28.83,7,0,307,0
6.84,0.0,0,5,0,31.87,17,0,900,1
4.41,0.0,95,8,4,11.9,8,0,604,0
1.0,0.0,106,1,2,44.54,23,1,432,0
5.4,0.0,137,7,0,8.24,21,0,641,0
17.2,0.0,36,6,3,30.39,10,0,760,0
28.16,0.0,148,7,2,47.85,18,1,806,0
1.0,0.4632,79,8,1,17.34,12,1,708,0
26.73,0.0,6,0,2,1.11,0,0,645,1
8.1,0.0,27,0,5,20.01,14,0,669,0
1.0,1.0,106,7,4,0.5,19,0,670,0
9.06,0.0,89,1,1,20.79,9,0,730,1
1.0,0.0,86,4,5,28.25,12,0,704,0
1.0,0.0,170,6,4,16.64,0,0,653,1
1.0,0.0,86,0,3,26.54,10,0,714,0
1.0,0.0459,161,0,3,0.5,4,0,449,0
17.58,0.0,67,6,2,12.82,13,0,657,0
4.39,0.4481,71,3,0,22.4,0,0,801,1
18.72,0.0,86,0,7,33.13,10,0,611,0
7.02,0.113,96,2,1,28.55,17,1,682,0
25.8,0.0,84,2,3,27.15,9,0,615,0
9.59,0.0,119,5,1,27.9,14,0,547,0
1.0,0.4679,59,5,0,16.86,11,0,804,1
1.0,0.4243,124,0,0,11.79,10,1,640,0
9.71,0.0,4,6,0,20.75,15,0,883,1
4.81,0.0,38,7,4,12.73,10,0,694,0
30.44,0.3907,30,8,0,0.5,2,0,829,1
6.04,0.0,65,6,0,1.56,15,0,316,0
1.0,1.0,65,2,2,0.5,15,0,631,1
37.59,0.0,32,3,1,31.79,13,0,641,0
9.34,0.0,154,3,2,25.03,11,0,435,0
1.03,0.0,76,0,2,8.32,5,0,635,0
26.8,0.0,60,6,3,50.12,7,0,503,0
23.55,0.0,94,5,3,26.67,5,1,468,0
1.0,0.6181,159,3,4,15.78,23,0,900,1
3.75,0.4216,132,2,1,0.5,9,0,674,0
9.73,0.4309,154,2,2,6.13,0,1,622,1
22.02,0.052,62,4,4,0.5,0,0,900,1
3.8,0.3186,35,5,0,10.23,11,0,667,1
1.0,0.0,156,4,1,13.5,3,0,715,0
1.0,0.0,76,7,2,16.77,13,0,671,1
9.67,0.0855,66,5,0,0.5,6,0,465,0
3.34,0.0,32,2,1,25.44,15,0,692,0
23.4,0.2903,19,4,0,2.34,6,0,900,1
1.0,0.0,132,0,0,22.07,10,0,579,0
4.39,0.0,123,10,4,38.71,9,0,683,1
1.0,0.7829,84,4,6,0.5,0,1,697,1
44.66,0.0,55,4,2,36.04,10,1,553,0
37.13,0.0,46,0,1,30.98,9,0,495,0
24.31,0.0,71,3,0,8.19,12,0,506,0
8.65,0.0,126,7,1,28.31,16,0,420,0
1.0,0.6484,0,5,0,11.03,27,0,708,0
7.1,0.0,66,3,0,34.37,14,0,900,1
24.74,0.0,106,1,3,40.68,11,1,536,0
1.0,0.0,62,5,0,35.02,28,0,487,0
19.94,0.2164,8,5,2,0.5,4,0,756,1
5.79,1.0,94,4,1,0.5,0,1,702,1
18.69,0.0,77,11,1,16.26,20,0,647,0
8.56,0.3601,87,0,3,0.5,18,0,593,0
1.0,0.0,132,0,1,16.25,9,0,526,0
8.99,0.1052,120,10,2,14.28,9,1,554,0
1.0,1.0,205,8,0,0.85,4,1,695,0
5.31,0.0,34,4,2,32.41,17,0,748,1
6.51,0.5398,146,4,1,0.5,3,0,621,1
28.64,0.0,120,7,1,20.83,17,1,617,0
13.03,0.0,121,6,2,14.49,24,0,645,1
2.66,0.0506,125,2,0,0.94,20,0,612,0
19.88,0.0,95,1,2,20.79,17,0,862,0
37.3,0.0,83,6,0,15.28,17,0,604,0
1.0,0.8025,188,10,0,0.5,1,1,659,0
28.38,0.0,42,4,5,31.45,5,0,638,0
11.36,0.9834,153,4,4,0.5,0,0,752,1
1.0,1.0,112,4,1,21.21,10,1,900,0
19.94,0.0,85,7,1,0.5,6,0,598,0
22.48,0.0,195,9,3,6.83,0,0,440,0
1.0,0.259,79,9,2,6.7,27,0,721,1
20.24,0.3153,0,0,0,0.6,5,0,692,1
6.2,0.1652,85,4,1,9.58,10,0,623,1
26.17,0.0295,0,10,0,1.04,23,0,645,0
28.4,0.0,84,3,0,0.5,16,0,702,0
1.0,0.4389,83,3,0,6.87,15,1,645,0
14.97,0.4681,54,0,4,0.5,0,0,770,1
1.0,0.6303,82,5,0,5.01,27,0,752,1
4.6,0.4769,125,4,2,11.56,6,0,844,0
12.93,0.0,109,4,6,60.33,4,0,738,0
6.31,0.0,78,0,4,22.63,7,0,750,0
9.09,0.0,81,5,1,27.35,15,0,626,0
8.82,0.0,49,3,1,15.62,13,0,585,0
45.18,0.0,6,8,1,13.92,5,1,397,0
10.27,0.0,147,7,0,8.24,10,0,467,0
19.61,0.0,82,4,3,16.97,8,0,487,0
1.02,0.0,63,7,6,33.66,10,0,703,0
1.0,0.8016,0,4,1,0.5,11,0,564,1
8.97,0.6734,63,4,2,0.5,1,0,900,1
11.57,0.0,133,1,1,22.02,12,0,478,0
7.75,0.0,194,6,2,28.11,0,0,786,0
18.66,0.0,129,4,2,40.7,19,0,642,0
20.23,0.0,153,3,3,0.5,22,1,390,0
4.92,0.0373,152,4,0,41.53,21,1,900,1
15.34,0.0,0,0,0,31.57,16,0,897,1
21.7,0.0,124,0,3,23.74,13,0,762,0
26.95,0.0,75,4,0,0.5,14,0,641,0
9.14,0.0,146,5,2,24.62,25,0,300,0
42.4,0.0,76,6,0,0.5,13,0,735,0
1.0,0.5017,0,5,1,17.32,9,0,871,1
11.53,0.0,207,3,1,26.9,1,0,628,0
25.98,0.0658,77,3,2,0.5,14,1,413,0
1.0,0.9272,153,1,3,0.5,16,0,900,1
18.25,0.0,68,1,0,0.5,13,0,689,1
1.0,0.6897,94,7,3,3.71,11,0,900,1
19.45,0.2672,164,3,5,18.88,0,0,900,1
8.27,0.0,163,2,1,26.74,23,0,828,0
2.02,1.0,209,0,6,0.5,0,0,693,0
20.51,0.0906,139,1,4,21.3,4,1,613,0
3.14,0.6022,80,0,4,0.5,5,0,604,1
9.51,0.3996,94,7,1,5.53,0,0,506,1
14.36,0.0,98,7,2,32.17,20,0,900,1
15.2,0.0,101,3,3,36.24,17,1,558,0
1.0,0.0,111,3,0,24.13,18,1,500,0
21.57,0.0,101,0,7,54.83,0,0,564,0
16.83,0.2786,135,6,3,10.46,0,0,637,1
1.0,0.8592,137,0,6,8.04,4,0,725,0
32.24,0.0,59,2,0,6.9,13,0,563,0
1.0,0.6496,120,7,4,0.5,13,0,546,0
1.0,0.7924,109,3,2,5.54,0,1,854,0
17.85,0.022,0,6,0,15.89,15,0,900,1
21.18,0.1668,16,1,1,2.28,4,0,837,1
36.55,0.0,92,1,1,22.47,7,1,415,0
27.14,0.0,150,3,6,48.36,1,0,701,0
2.76,0.0179,153,2,2,17.71,33,0,879,1
24.59,0.3562,97,5,0,0.5,3,0,840,1
1.0,1.0,199,0,1,0.5,0,1,717,0
19.55,0.1409,98,5,2,14.56,5,1,494,0
19.95,0.0,62,5,1,23.37,16,0,478,0
1.0,0.2191,155,2,0,13.47,12,1,580,0
20.8,0.0,110,3,2,18.11,9,0,640,0
31.8,0.0,61,2,2,34.33,7,0,602,0
3.25,0.1825,10,4,0,19.23,27,1,688,1
30.62,0.0,91,2,2,3.44,22,0,528,0
33.92,0.0,50,1,2,5.82,1,1,698,1
6.68,0.3082,110,7,2,0.5,0,0,747,1
1.0,0.3996,72,3,1,22.08,22,0,900,1
1.0,1.0,76,2,4,0.5,0,0,900,1
6.83,0.0,4,5,0,28.74,19,0,824,1
19.86,0.0,2,0,2,22.98,22,0,900,1
6.37,0.0,120,2,2,17.95,10,0,696,1
22.16,0.0,90,7,0,19.96,17,0,667,0
22.8,0.0,128,4,4,32.75,5,0,644,0
21.01,0.0,109,0,6,24.28,8,0,524,0
21.52,0.0,86,1,1,12.23,20,0,647,0
8.12,0.0,91,6,0,25.11,16,0,667,0
1.0,0.0,30,6,2,26.48,28,0,300,0
5.12,0.0,0,7,0,34.7,25,0,900,1
34.31,0.0,0,3,4,8.39,0,1,462,1
15.81,0.6941,133,3,2,0.5,0,0,665,1
13.69,0.0,103,3,4,59.2,14,0,606,0
1.0,0.2279,118,1,1,7.31,9,1,617,0
7.24,0.3791,201,2,5,29.23,13,0,900,1
17.18,0.0,175,4,2,16.01,9,1,553,0
2.21,0.0,42,5,3,28.88,19,0,300,0
16.11,0.5708,0,5,1,0.5,23,0,774,0
12.93,0.0,99,4,0,24.31,5,0,777,0
26.84,0.0,80,1,5,19.11,11,1,657,0
16.79,0.0,100,0,0,0.5,20,0,657,1
14.1,0.0639,113,7,2,18.45,3,1,426,0
5.8,0.5554,92,3,1,0.5,1,0,900,1
9.14,0.0,77,8,1,28.16,15,0,480,0
2.49,0.4279,0,3,0,0.5,21,0,663,1
3.15,0.0,152,1,4,35.49,9,0,741,0
1.0,0.0,158,3,3,36.71,18,0,664,0
15.17,0.3256,109,6,0,0.5,6,0,593,0
2.1,0.6765,120,1,3,0.5,0,0,646,1
12.22,0.0,75,4,0,27.81,8,0,731,0
10.34,0.0,124,3,2,33.96,13,1,581,0
27.21,0.5799,55,3,1,0.5,0,1,674,1
21.41,0.0,91,0,1,31.9,14,0,656,0
1.0,1.0,86,0,1,0.5,6,0,900,0
1.0,0.0,149,0,5,49.19,8,0,604,0
32.68,0.0,52,5,2,37.35,14,0,595,0
8.19,0.7473,152,7,2,0.5,3,0,717,1
18.75,0.0,90,6,0,16.53,19,1,596,0
1.0,0.0,178,9,1,10.54,17,0,747,0
17.42,0.2569,0,7,1,11.02,7,0,851,1
24.96,0.0,24,4,1,28.22,12,0,397,1
11.74,0.734,1,2,3,0.5,0,0,900,1
1.0,0.4181,26,4,1,7.6,6,0,658,1
1.0,0.4347,32,5,1,6.57,3,0,594,1
1.0,0.0917,25,6,0,31.41,24,0,900,1
8.87,0.7379,117,9,4,0.5,0,1,596,1
11.56,0.0,168,0,2,23.38,23,0,859,1
19.7,0.0,76,2,0,33.87,0,0,792,1
4.64,0.0838,94,3,1,22.17,17,0,812,1
24.55,0.0,79,7,2,41.67,12,0,754,0
16.99,0.0,88,9,1,29.68,6,1,370,0
5.32,0.2695,94,6,0,0.5,9,0,714,1
1.29,0.6351,210,1,5,10.46,19,0,900,1
12.96,0.2241,36,0,0,16.02,25,1,737,0
1.0,0.1873,55,2,0,21.84,19,0,794,1
9.03,0.5424,0,1,3,2.8,1,0,807,1
2.95,0.9212,146,3,1,0.5,6,1,662,1
1.0,1.0,97,4,4,0.5,15,0,900,1
1.0,1.0,16,1,1,8.57,0,0,900,1
19.06,0.0,21,5,4,36.3,18,1,411,1
1.0,0.609,71,4,2,5.92,24,0,871,1
26.27,0.0,97,5,2,25.72,12,0,733,0
10.21,0.0,84,4,0,16.34,16,0,608,1
9.08,0.3915,118,2,1,13.33,2,1,702,1
35.06,0.0,21,5,6,1.31,0,1,550,1
15.77,0.0,108,5,3,43.9,16,0,808,0
1.0,0.419,42,1,3,17.83,6,1,712,1
42.52,0.0,24,0,1,15.1,12,1,458,0
7.91,0.5598,107,2,4,16.01,0,1,572,0
26.06,0.201,47,5,2,0.5,0,0,702,1
8.09,0.2203,70,5,0,27.94,18,1,734,0
35.32,0.7001,48,3,2,0.5,0,0,655,1
1.0,0.0,94,4,3,27.05,12,0,690,0
38.56,0.4884,25,3,1,0.5,0,0,715,0
1.0,0.0431,163,0,0,28.65,10,1,622,0
4.11,0.126,37,5,1,18.61,8,0,712,1
9.32,0.1653,143,5,4,29.94,8,1,615,0
1.0,0.83,153,10,1,17.36,0,1,900,0
1.0,0.2732,172,9,0,19.42,0,1,722,1
9.33,0.4964,82,4,2,0.5,0,0,840,1
25.46,0.7202,19,8,3,0.5,0,1,809,1
19.96,0.0,90,3,0,0.5,14,0,559,0
20.81,0.449,0,0,1,0.5,5,0,900,1
10.87,0.0,45,0,7,28.87,11,0,485,0
26.97,0.0,107,3,0,0.5,15,0,837,0
1.81,0.0,135,2,3,26.79,15,0,794,0
16.78,0.1136,0,8,5,26.29,6,0,900,1
1.0,0.9004,69,3,2,0.5,0,0,614,1
9.87,0.0,84,0,3,23.13,10,0,696,1
23.56,0.0,4,5,2,24.13,26,0,619,0
8.67,0.0682,102,2,0,33.18,12,0,900,1
1.0,0.5044,97,1,4,11.93,7,0,727,0
16.2,0.0,66,0,0,44.95,10,0,900,1
1.26,0.0,141,1,1,17.62,15,0,436,0
16.67,0.0,97,8,1,8.49,21,0,418,0
18.51,0.0,88,3,5,26.33,10,0,650,0
12.75,0.0,17,3,5,15.95,8,0,812,0
4.75,0.1366,73,5,1,21.32,16,0,817,1
9.31,0.0732,43,2,1,19.23,15,1,720,0
22.89,0.0,132,5,1,27.37,17,0,587,0
3.14,0.3345,142,3,2,7.58,12,1,631,0
43.53,0.0,78,4,0,31.61,13,1,503,0
3.07,0.2975,79,0,0,2.37,9,0,692,0
19.4,0.7045,91,6,0,0.5,0,1,640,1
34.64,0.0,25,3,4,50.52,3,0,436,0
38.87,0.0,40,5,2,0.5,17,0,474,0
16.56,0.6616,0,0,0,0.5,2,0,823,1
14.17,0.0,87,4,2,24.96,18,0,742,0
11.67,0.0,104,7,0,21.99,16,0,517,0
40.65,0.0,8,1,3,45.24,9,0,647,0
22.19,0.0,94,3,2,4.9,6,0,593,0
1.0,0.5032,153,0,4,12.89,3,0,644,0
4.39,0.2358,12,5,3,27.78,18,1,871,0
18.19,0.0884,193,0,2,10.57,6,1,590,1
1.0,1.0,103,7,4,0.5,0,1,622,1
18.57,0.0,38,0,1,44.03,3,0,800,1
21.16,0.0,42,0,0,30.83,0,0,775,1
18.97,0.2246,0,4,2,6.79,3,0,790,1
21.54,0.0,91,6,1,29.35,13,0,519,0
1.0,0.0,105,0,3,27.98,12,0,476,0
33.66,0.0,14,6,3,15.69,1,1,474,0
7.48,0.4084,282,6,6,0.5,22,1,798,1
1.0,0.0,145,8,0,9.64,6,0,591,0
23.45,0.0,49,2,2,14.71,6,0,529,0
1.0,0.5562,46,3,0,9.51,16,0,720,0
13.85,0.0,30,8,4,25.64,16,0,756,0
5.85,0.317,0,3,0,14.42,13,0,807,1
8.42,0.8504,121,1,1,0.5,0,1,548,0
20.48,0.0,93,3,2,0.5,21,0,586,0
13.35,0.0474,105,5,3,15.53,5,0,652,0
13.89,0.3513,124,3,2,8.42,0,1,837,0
51.47,0.0,33,6,3,43.56,8,0,554,0
1.0,0.6979,9,6,0,10.9,25,1,704,1
39.58,0.0,43,9,1,0.5,15,0,574,0
13.01,0.0,37,0,3,58.88,12,0,900,1
11.48,0.5983,72,8,0,0.5,4,0,790,1
6.31,0.2714,19,0,0,28.14,0,0,837,1
1.0,0.3828,141,3,3,7.75,7,0,653,0
9.62,0.0,103,3,0,26.91,23,0,674,0
21.06,0.0,128,1,2,18.1,14,0,745,0
25.93,0.0,60,3,1,22.5,17,0,839,0
1.0,0.779,126,6,4,2.49,9,0,900,1
1.0,0.2101,175,3,0,10.35,18,1,518,0
1.0,0.5818,134,5,2,2.63,19,0,761,1
1.0,0.2786,111,5,1,13.9,17,1,610,0
8.8,0.0,98,4,2,33.71,21,0,348,0
1.0,0.741,82,2,0,0.5,5,0,890,0
19.43,0.0,109,5,4,30.43,0,0,634,0
1.0,0.2337,107,5,3,11.38,9,0,630,0
8.86,0.7196,110,8,0,0.5,2,0,780,1
30.79,0.0,0,6,5,18.11,1,0,837,1
18.13,0.5779,89,9,1,0.5,8,0,900,1
1.0,1.0,113,6,4,0.5,9,0,632,1
3.63,0.0,32,2,2,17.77,29,0,300,0
31.34,0.0,96,2,2,14.62,13,0,491,0
10.58,0.9619,0,3,3,0.5,0,1,870,1
4.41,0.5215,185,9,3,0.5,11,1,650,1
1.0,0.0,31,2,6,30.51,19,0,528,0
11.54,0.2834,0,12,2,17.21,10,0,900,1
35.44,0.0,141,7,1,57.8,3,1,800,1
1.0,0.2166,140,5,4,25.79,13,0,633,0
23.86,0.0,127,5,2,0.5,21,0,678,0
1.0,0.6622,70,4,0,1.36,6,0,870,1
5.14,0.0,90,6,0,42.11,23,0,900,1
4.25,0.0,117,1,4,14.92,6,0,683,0
3.53,0.0257,87,3,0,28.88,22,0,874,1
1.0,0.8813,103,1,5,0.5,18,0,900,1
21.08,0.0,76,4,0,1.14,20,0,665,0
34.4,0.2253,0,2,2,3.94,3,0,892,1
2.7,0.0,109,5,1,14.95,20,0,413,0
1.0,0.8192,119,0,0,14.92,24,0,900,1
41.58,0.0,193,8,1,23.05,13,1,300,1
8.8,0.0126,0,2,3,17.34,10,0,900,1
1.0,0.0,185,3,3,25.5,2,0,341,0
24.43,0.0,68,2,3,18.87,9,0,582,0
1.0,1.0,114,3,1,0.5,27,0,839,1
15.27,0.5681,111,2,0,0.5,0,1,657,1
9.46,0.5384,61,0,4,0.5,0,0,840,1
6.44,0.0925,115,5,3,17.56,9,0,773,0
15.58,0.0,86,0,4,18.47,9,1,582,0
1.0,1.0,154,7,0,0.5,1,0,716,1
3.05,0.0,108,2,1,23.49,12,0,503,0
8.56,0.0,110,8,2,0.5,23,0,755,0
10.8,0.7398,0,7,1,0.5,9,0,750,1
1.0,0.0,92,6,1,11.86,10,0,524,0
29.42,0.4232,53,1,0,0.5,0,0,809,1
21.05,0.0,97,0,4,29.76,15,0,426,0
3.35,0.0,108,8,4,0.5,17,0,438,0
21.79,1.0,0,6,0,0.5,2,0,900,1
22.54,0.0,0,11,5,21.79,2,0,727,0
53.59,0.0,0,9,0,40.67,17,0,501,0
16.17,0.3176,130,3,1,0.5,11,1,441,0
1.0,0.4849,0,7,0,22.46,25,1,697,0
17.01,0.2147,125,2,1,20.8,0,0,755,1
3.21,0.0,116,7,7,75.54,4,0,709,0
8.91,0.0,143,8,5,37.69,7,0,681,0
17.96,0.0525,140,0,1,24.04,10,1,493,0
1.0,0.0,132,1,0,13.55,17,0,393,0
1.0,0.6682,162,1,6,1.69,18,0,900,1
15.89,0.0,96,3,1,9.67,11,0,625,0
3.81,0.0317,40,1,1,23.21,26,0,891,1
1.0,0.1098,31,6,0,26.57,17,0,812,1
12.05,0.0,89,3,1,16.94,22,0,756,0
33.33,0.0,92,1,1,32.91,16,0,611,0
35.17,0.356,6,5,2,0.5,0,0,896,1
24.12,0.1511,88,2,1,0.5,19,1,612,0
15.17,0.5608,80,8,0,0.5,2,1,619,1
11.13,0.7504,44,5,0,0.5,1,0,715,1
29.97,0.0,66,5,3,23.45,14,0,664,0
6.51,0.0,0,0,2,19.43,23,0,645,0
1.0,0.2777,82,2,2,29.21,13,1,778,0
1.0,0.0,30,0,2,25.8,28,0,755,1
4.25,0.0,143,5,3,36.9,14,0,758,0
3.54,0.2058,143,4,1,7.31,11,0,702,0
9.64,0.675,143,4,3,0.5,0,1,757,1
50.6,0.0,77,2,2,16.87,23,1,502,0
15.13,0.0,109,9,3,44.49,5,1,519,0
3.05,0.0,151,0,2,35.32,4,0,509,0
23.07,0.0,47,5,0,19.94,19,0,772,0
9.1,0.0,129,2,2,0.5,19,0,691,0
17.98,0.0,143,0,4,38.4,5,0,695,0
2.52,0.0,0,0,2,45.77,14,0,871,1
19.34,0.0,154,6,2,36.47,9,0,900,1
4.95,0.5831,89,4,1,23.29,11,1,900,0
8.54,0.6441,212,4,5,0.54,6,0,789,1
18.68,0.0,123,0,2,5.58,0,0,642,0
1.0,0.4679,100,7,2,10.28,23,0,833,1
7.61,0.0,148,5,0,24.73,24,0,732,0
28.58,0.7915,104,0,0,0.5,0,1,435,1
6.21,0.2161,14,11,0,9.58,26,0,621,0
23.74,0.0,98,4,0,13.4,21,0,800,1
10.26,0.2452,192,3,4,24.54,15,0,900,1
15.2,0.0,67,0,3,29.87,15,0,327,0
19.22,0.011,184,4,4,13.99,11,0,699,1
1.0,0.9038,26,8,1,2.63,10,1,534,1
1.0,1.0,152,0,4,0.5,16,0,900,1
38.34,0.0,66,2,3,43.85,5,1,506,0
20.04,0.0,111,0,5,24.44,3,0,676,0
1.0,0.2968,0,2,3,9.89,15,0,822,0
8.56,0.0,38,0,3,25.45,19,0,529,0
20.55,0.0,105,6,0,16.71,17,0,559,0
1.0,0.9049,137,0,0,0.5,0,0,885,0
1.0,0.3623,89,5,0,30.63,15,0,900,1
50.07,0.0,0,6,0,18.39,19,0,603,0
6.63,0.0,99,0,1,6.76,19,0,896,0
25.4,0.0,0,3,7,15.83,21,0,523,0
24.04,0.0,97,1,2,11.33,9,0,637,0
16.02,0.0,73,0,0,0.5,14,0,537,0
16.69,0.0417,71,6,1,0.5,10,0,550,0
1.0,0.4837,228,5,1,21.36,0,1,690,0
34.24,0.0,35,0,1,29.17,26,0,668,0
20.65,0.3033,237,4,2,23.3,0,1,770,1
10.99,0.0,23,0,2,26.39,21,0,360,0
5.82,0.884,132,4,6,0.5,0,0,660,0
26.29,0.0,189,2,2,37.95,20,0,900,1
33.16,0.0,57,0,0,28.29,15,0,625,0
1.0,0.0,66,11,3,21.43,11,0,722,0
26.17,0.0,155,6,1,23.16,13,1,520,0
32.66,0.0,67,3,0,30.89,23,0,659,1
16.44,0.0,79,3,7,35.26,11,0,328,0
1.0,0.1579,110,4,2,14.29,9,1,681,0
4.19,0.2768,96,1,1,0.5,9,0,583,0
1.0,0.1974,91,5,2,9.51,10,1,635,0
16.93,0.2946,233,4,4,30.91,5,0,900,1
9.49,0.3357,68,0,2,19.36,3,0,900,1
4.53,0.0,142,0,2,24.07,3,0,547,0
13.42,0.0771,116,5,1,22.7,3,0,728,1
28.92,0.2723,51,5,4,0.5,0,1,699,1
1.0,0.0,230,2,2,37.92,24,0,875,0
42.35,0.0,65,4,2,5.36,2,1,516,0
8.81,0.0598,77,2,0,20.56,6,0,639,1
15.06,0.0,112,2,0,18.75,22,0,629,1
12.48,0.4849,82,0,0,0.5,6,1,335,0
1.0,0.5283,40,3,1,20.03,18,1,746,0
22.94,0.0,98,3,3,39.9,4,1,415,0
27.0,0.0,1,2,1,19.9,18,0,740,0
27.77,0.0,53,2,1,32.09,17,0,571,0
25.63,0.0,155,4,1,46.36,19,1,823,1
1.0,0.1475,119,9,1,0.5,5,0,646,0
2.68,0.5431,179,3,0,2.89,0,1,745,0
5.12,0.0,113,6,8,27.93,0,0,890,0
23.61,0.0,94,7,2,26.52,8,0,576,0
25.23,0.214,9,4,3,4.07,1,0,900,0
1.0,0.2935,153,5,1,7.53,12,0,612,0
2.59,0.0,0,1,5,17.66,20,0,840,0
26.96,0.3369,0,0,0,0.5,6,0,826,1
1.0,0.1429,85,5,0,32.85,30,0,900,1
1.0,0.0142,105,1,1,20.53,12,0,632,0
1.0,0.9619,123,3,2,0.5,16,0,738,0
15.7,0.0,127,2,3,42.52,24,0,849,0
43.09,0.2844,0,3,6,0.5,0,1,752,1
17.36,0.3317,111,1,2,0.5,11,0,784,0
1.0,0.6563,142,3,1,12.46,22,0,900,1
1.0,0.8022,200,6,6,0.5,20,0,804,1
1.0,0.7596,103,2,1,27.14,0,0,900,1
1.0,0.0414,93,7,3,26.04,14,1,584,0
17.22,0.0,133,1,0,11.81,20,0,723,0
16.49,0.4272,44,9,2,0.5,0,0,704,1
3.94,0.0,128,4,2,11.52,9,0,536,0
39.78,0.0,0,2,3,23.9,10,0,900,1
5.33,0.1394,144,6,3,10.03,20,0,748,1
3.7,0.7034,115,2,4,1.39,3,0,620,0
20.73,0.0,68,4,0,13.61,21,0,689,1
7.04,0.0,103,1,0,13.62,17,0,484,0
17.23,0.0079,12,3,5,15.09,1,0,861,1
36.53,0.3012,20,4,0,0.5,0,0,591,1
28.23,0.0,113,0,1,20.21,21,0,548,0
2.93,0.0,152,6,2,27.78,15,0,786,0
25.72,0.6211,0,7,0,0.5,4,0,900,1
30.13,0.0,65,9,0,15.95,24,0,742,0
1.12,0.3018,72,4,0,18.22,19,1,676,0
21.06,0.0,94,0,0,9.26,16,0,556,0
1.0,0.4139,119,3,0,23.66,10,0,813,0
1.0,0.0493,106,1,6,11.48,0,0,818,0
12.32,0.4168,48,1,0,0.5,10,0,875,1
16.64,0.8656,0,6,3,0.5,0,0,900,1
2.84,0.0,66,0,4,31.67,9,0,552,0
1.0,0.685,81,5,1,2.39,15,0,661,0
31.53,0.0,106,0,1,30.98,15,0,677,0
1.0,0.0,161,5,0,14.67,5,0,564,0
27.89,0.5684,0,2,3,0.5,0,0,770,1
1.0,0.0,56,5,0,21.75,15,0,665,0
1.0,0.4282,159,4,1,1.42,3,1,561,0
13.4,0.0,134,8,0,13.91,16,0,602,0
18.85,0.0,92,11,4,15.61,13,0,713,1
25.47,0.0,0,10,2,29.88,15,0,900,1
1.0,0.0,139,2,0,10.2,12,0,414,0
5.13,0.5146,153,3,2,11.05,5,0,798,1
1.0,0.7375,134,0,1,9.42,2,0,818,0
1.0,0.1226,87,2,4,19.58,9,0,691,1
8.4,0.0,127,0,0,33.21,21,0,401,0
23.29,0.0,89,4,0,33.5,0,1,733,1
5.48,0.0,130,2,1,30.21,14,1,501,0
1.0,1.0,116,4,5,3.36,20,0,900,1
22.37,0.0,81,4,3,18.53,10,0,786,0
21.98,0.0,79,2,3,36.45,5,0,441,0
1.0,0.0,0,1,5,20.75,20,0,691,0
17.96,0.0812,93,3,3,23.94,7,1,531,0
12.23,0.1074,140,10,1,34.18,9,0,900,1
13.5,0.0,114,0,2,26.72,11,0,361,0
14.88,0.0,58,0,1,22.18,4,1,442,1
1.0,0.544,51,0,0,10.93,19,0,848,1
16.78,0.3551,142,2,4,21.23,1,1,569,0
19.03,0.572,6,6,1,0.5,2,0,893,1
36.57,0.0,6,8,2,8.87,5,0,899,1
15.62,0.0,32,0,2,30.07,24,0,460,0
1.0,0.0,116,4,3,14.04,20,0,419,0
1.0,0.0,114,0,0,12.9,10,0,630,0
1.0,0.2278,57,7,1,18.73,25,0,467,0
16.51,0.2495,142,5,2,12.21,8,1,384,0
1.0,0.6802,159,6,4,0.5,19,0,794,1
9.27,0.0,180,1,1,26.86,8,1,655,0
1.0,0.0,85,4,1,26.43,23,0,472,0
5.1,0.0667,53,6,2,7.52,5,0,585,1
27.76,0.0,123,7,1,13.18,5,1,451,1
11.22,0.0,73,3,2,18.93,12,0,779,0
36.05,0.0,3,6,1,13.11,2,1,421,0
1.0,0.0,120,4,3,28.78,5,0,707,0
18.12,0.1302,114,7,0,28.99,0,1,736,1
1.0,0.5066,22,1,1,20.39,0,0,899,1
1.0,0.411,141,0,2,11.93,13,0,581,0
9.58,0.0,74,7,0,14.51,12,0,411,0
22.98,0.0,104,3,0,0.5,5,0,557,0
13.37,0.0,66,3,0,12.52,8,0,747,1
4.35,0.0,47,5,0,21.24,20,0,691,1
19.06,0.1875,92,3,1,1.63,6,1,322,0
